compound_emitted,percentile,time,forcing_agent,temperature_total,temperature_by_mechanism
NMVOC+CO,p05,2025,Strat H2O,0.07,0.004
NMVOC+CO,p05,2025,ARI,0.07,-0.002
NMVOC+CO,p05,2025,ACI,0.07,0.0
NMVOC+CO,p05,2025,LAPSI,0.07,0.0
NMVOC+CO,p05,2025,Land use,0.07,0.0
NMVOC+CO,p50,2025,CO2,0.122,0.044
NMVOC+CO,p50,2025,CH4,0.122,0.032
NMVOC+CO,p50,2025,N2O,0.122,-0.001
NMVOC+CO,p50,2025,CFC+HCFC+other,0.122,0.0
NMVOC+CO,p50,2025,HFC,0.122,0.0
NMVOC+CO,p50,2025,Ozone,0.122,0.045
NMVOC+CO,p50,2025,Strat H2O,0.122,0.004
NMVOC+CO,p50,2025,ARI,0.122,-0.002
NMVOC+CO,p50,2025,ACI,0.122,0.0
NMVOC+CO,p50,2025,LAPSI,0.122,0.0
NMVOC+CO,p50,2025,Land use,0.122,0.0
NMVOC+CO,p95,2025,CO2,0.199,0.044
NMVOC+CO,p95,2025,CH4,0.199,0.032
NMVOC+CO,p95,2025,N2O,0.199,-0.001
NMVOC+CO,p95,2025,CFC+HCFC+other,0.199,0.0
NMVOC+CO,p95,2025,HFC,0.199,0.0
NMVOC+CO,p95,2025,Ozone,0.199,0.045
NMVOC+CO,p95,2025,Strat H2O,0.199,0.004
NMVOC+CO,p95,2025,ARI,0.199,-0.002
NMVOC+CO,p95,2025,ACI,0.199,0.0
NMVOC+CO,p95,2025,LAPSI,0.199,0.0
NMVOC+CO,p95,2025,Land use,0.199,0.0
SO2,p05,2025,CO2,-1.016,-0.016
SO2,p05,2025,CH4,-1.016,0.006
SO2,p05,2025,N2O,-1.016,0.0
SO2,p05,2025,CFC+HCFC+other,-1.016,0.0
SO2,p05,2025,HFC,-1.016,0.0
SO2,p05,2025,Ozone,-1.016,0.012
SO2,p05,2025,Strat H2O,-1.016,0.001
SO2,p05,2025,ARI,-1.016,-0.115
SO2,p05,2025,ACI,-1.016,-0.325
SO2,p05,2025,LAPSI,-1.016,0.0
SO2,p05,2025,Land use,-1.016,0.0
SO2,p50,2025,CO2,-0.438,-0.016
SO2,p50,2025,CH4,-0.438,0.006
SO2,p50,2025,N2O,-0.438,0.0
SO2,p50,2025,CFC+HCFC+other,-0.438,0.0
SO2,p50,2025,HFC,-0.438,0.0
SO2,p50,2025,Ozone,-0.438,0.012
SO2,p50,2025,Strat H2O,-0.438,0.001
SO2,p50,2025,ARI,-0.438,-0.115
SO2,p50,2025,ACI,-0.438,-0.325
SO2,p50,2025,LAPSI,-0.438,0.0
SO2,p50,2025,Land use,-0.438,0.0
SO2,p95,2025,CO2,-0.161,-0.016
SO2,p95,2025,CH4,-0.161,0.006
SO2,p95,2025,N2O,-0.161,0.0
SO2,p95,2025,CFC+HCFC+other,-0.161,0.0
SO2,p95,2025,HFC,-0.161,0.0
SO2,p95,2025,Ozone,-0.161,0.012
SO2,p95,2025,Strat H2O,-0.161,0.001
SO2,p95,2025,ARI,-0.161,-0.115
SO2,p95,2025,ACI,-0.161,-0.325
SO2,p95,2025,LAPSI,-0.161,0.0
SO2,p95,2025,Land use,-0.161,0.0
Organic carbon,p05,2025,CO2,-0.131,-0.003
Organic carbon,p05,2025,CH4,-0.131,0.001
Organic carbon,p05,2025,N2O,-0.131,0.0
Organic carbon,p05,2025,CFC+HCFC+other,-0.131,0.0
Organic carbon,p05,2025,HFC,-0.131,0.0
Organic carbon,p05,2025,Ozone,-0.131,0.003
Organic carbon,p05,2025,Strat H2O,-0.131,0.0
Organic carbon,p05,2025,ARI,-0.131,-0.039
Organic carbon,p05,2025,ACI,-0.131,-0.03
Organic carbon,p05,2025,LAPSI,-0.131,0.0
Organic carbon,p05,2025,Land use,-0.131,0.0
Organic carbon,p50,2025,CO2,-0.068,-0.003
Organic carbon,p50,2025,CH4,-0.068,0.001
Organic carbon,p50,2025,N2O,-0.068,0.0
Organic carbon,p50,2025,CFC+HCFC+other,-0.068,0.0
Organic carbon,p50,2025,HFC,-0.068,0.0
Organic carbon,p50,2025,Ozone,-0.068,0.003
Organic carbon,p50,2025,Strat H2O,-0.068,0.0
Organic carbon,p50,2025,ARI,-0.068,-0.039
Organic carbon,p50,2025,ACI,-0.068,-0.03
Organic carbon,p50,2025,LAPSI,-0.068,0.0
Organic carbon,p50,2025,Land use,-0.068,0.0
Organic carbon,p95,2025,CO2,-0.028,-0.003
Organic carbon,p95,2025,CH4,-0.028,0.001
Organic carbon,p95,2025,N2O,-0.028,0.0
Organic carbon,p95,2025,CFC+HCFC+other,-0.028,0.0
Organic carbon,p95,2025,HFC,-0.028,0.0
Organic carbon,p95,2025,Ozone,-0.028,0.003
Organic carbon,p95,2025,Strat H2O,-0.028,0.0
Organic carbon,p95,2025,ARI,-0.028,-0.039
Organic carbon,p95,2025,ACI,-0.028,-0.03
Organic carbon,p95,2025,LAPSI,-0.028,0.0
Organic carbon,p95,2025,Land use,-0.028,0.0
Black carbon,p05,2025,CO2,0.014,-0.006
Black carbon,p05,2025,CH4,0.014,0.001
Black carbon,p05,2025,N2O,0.014,0.0
Black carbon,p05,2025,CFC+HCFC+other,0.014,0.0
Black carbon,p05,2025,HFC,0.014,0.0
Black carbon,p05,2025,Ozone,0.014,0.002
Black carbon,p05,2025,Strat H2O,0.014,0.0
Black carbon,p05,2025,ARI,0.014,0.066
Black carbon,p05,2025,ACI,0.014,-0.014
Black carbon,p05,2025,LAPSI,0.014,0.035
Black carbon,p05,2025,Land use,0.014,0.0
Black carbon,p50,2025,CO2,0.085,-0.006
Black carbon,p50,2025,CH4,0.085,0.001
Black carbon,p50,2025,N2O,0.085,0.0
Black carbon,p50,2025,CFC+HCFC+other,0.085,0.0
Black carbon,p50,2025,HFC,0.085,0.0
Black carbon,p50,2025,Ozone,0.085,0.002
Black carbon,p50,2025,Strat H2O,0.085,0.0
Black carbon,p50,2025,ARI,0.085,0.066
Black carbon,p50,2025,ACI,0.085,-0.014
Black carbon,p50,2025,LAPSI,0.085,0.035
Black carbon,p50,2025,Land use,0.085,0.0
Black carbon,p95,2025,CO2,0.164,-0.006
Black carbon,p95,2025,CH4,0.164,0.001
Black carbon,p95,2025,N2O,0.164,0.0
Black carbon,p95,2025,CFC+HCFC+other,0.164,0.0
Black carbon,p95,2025,HFC,0.164,0.0
Black carbon,p95,2025,Ozone,0.164,0.002
Black carbon,p95,2025,Strat H2O,0.164,0.0
Black carbon,p95,2025,ARI,0.164,0.066
Black carbon,p95,2025,ACI,0.164,-0.014
Black carbon,p95,2025,LAPSI,0.164,0.035
Black carbon,p95,2025,Land use,0.164,0.0
Ammonia,p05,2025,CO2,-0.028,0.0
Ammonia,p05,2025,CH4,-0.028,0.0
Ammonia,p05,2025,N2O,-0.028,0.0
Ammonia,p05,2025,CFC+HCFC+other,-0.028,0.0
Ammonia,p05,2025,HFC,-0.028,0.0
Ammonia,p05,2025,Ozone,-0.028,0.001
Ammonia,p05,2025,Strat H2O,-0.028,0.0
Ammonia,p05,2025,ARI,-0.028,-0.02
Ammonia,p05,2025,ACI,-0.028,0.0
Ammonia,p05,2025,LAPSI,-0.028,0.0
Ammonia,p05,2025,Land use,-0.028,0.0
Ammonia,p50,2025,CO2,-0.019,0.0
Ammonia,p50,2025,CH4,-0.019,0.0
Ammonia,p50,2025,N2O,-0.019,0.0
Ammonia,p50,2025,CFC+HCFC+other,-0.019,0.0
Ammonia,p50,2025,HFC,-0.019,0.0
Ammonia,p50,2025,Ozone,-0.019,0.001
Ammonia,p50,2025,Strat H2O,-0.019,0.0
Ammonia,p50,2025,ARI,-0.019,-0.02
Ammonia,p50,2025,ACI,-0.019,0.0
Ammonia,p50,2025,LAPSI,-0.019,0.0
