compound_emitted,percentile,time,forcing_agent,erf_total,erf_by_mechanism
Organic carbon,p95,2025,CO2,-0.067,-0.006
Organic carbon,p95,2025,CH4,-0.067,0.003
Organic carbon,p95,2025,N2O,-0.067,0.0
Organic carbon,p95,2025,CFC+HCFC+other,-0.067,0.0
Organic carbon,p95,2025,HFC,-0.067,0.0
Organic carbon,p95,2025,Ozone,-0.067,0.007
Organic carbon,p95,2025,Strat H2O,-0.067,0.0
Organic carbon,p95,2025,ARI,-0.067,-0.084
Organic carbon,p95,2025,ACI,-0.067,-0.062
Organic carbon,p95,2025,LAPSI,-0.067,0.0
Organic carbon,p95,2025,Land use,-0.067,0.0
Black carbon,p05,2025,CO2,0.028,-0.011
Black carbon,p05,2025,CH4,0.028,0.002
Black carbon,p05,2025,N2O,0.028,0.0
Black carbon,p05,2025,CFC+HCFC+other,0.028,0.0
Black carbon,p05,2025,HFC,0.028,0.0
Black carbon,p05,2025,Ozone,0.028,0.005
Black carbon,p05,2025,Strat H2O,0.028,0.0
Black carbon,p05,2025,ARI,0.028,0.133
Black carbon,p05,2025,ACI,0.028,-0.032
Black carbon,p05,2025,LAPSI,0.028,0.081
Black carbon,p05,2025,Land use,0.028,0.0
Black carbon,p50,2025,CO2,0.178,-0.011
Black carbon,p50,2025,CH4,0.178,0.002
Black carbon,p50,2025,N2O,0.178,0.0
Black carbon,p50,2025,CFC+HCFC+other,0.178,0.0
Black carbon,p50,2025,HFC,0.178,0.0
Black carbon,p50,2025,Ozone,0.178,0.005
Black carbon,p50,2025,Strat H2O,0.178,0.0
Black carbon,p50,2025,ARI,0.178,0.133
Black carbon,p50,2025,ACI,0.178,-0.032
Black carbon,p50,2025,LAPSI,0.178,0.081
Black carbon,p50,2025,Land use,0.178,0.0
Black carbon,p95,2025,CO2,0.329,-0.011
Black carbon,p95,2025,CH4,0.329,0.002
Black carbon,p95,2025,N2O,0.329,0.0
Black carbon,p95,2025,CFC+HCFC+other,0.329,0.0
Black carbon,p95,2025,HFC,0.329,0.0
Black carbon,p95,2025,Ozone,0.329,0.005
Black carbon,p95,2025,Strat H2O,0.329,0.0
Black carbon,p95,2025,ARI,0.329,0.133
Black carbon,p95,2025,ACI,0.329,-0.032
Black carbon,p95,2025,LAPSI,0.329,0.081
Black carbon,p95,2025,Land use,0.329,0.0
Ammonia,p05,2025,CO2,-0.044,-0.001
Ammonia,p05,2025,CH4,-0.044,0.0
Ammonia,p05,2025,N2O,-0.044,0.0
Ammonia,p05,2025,CFC+HCFC+other,-0.044,0.0
Ammonia,p05,2025,HFC,-0.044,0.0
Ammonia,p05,2025,Ozone,-0.044,0.001
Ammonia,p05,2025,Strat H2O,-0.044,0.0
Ammonia,p05,2025,ARI,-0.044,-0.039
Ammonia,p05,2025,ACI,-0.044,0.0
Ammonia,p05,2025,LAPSI,-0.044,0.0
Ammonia,p05,2025,Land use,-0.044,0.0
Ammonia,p50,2025,CO2,-0.039,-0.001
Ammonia,p50,2025,CH4,-0.039,0.0
Ammonia,p50,2025,N2O,-0.039,0.0
Ammonia,p50,2025,CFC+HCFC+other,-0.039,0.0
Ammonia,p50,2025,HFC,-0.039,0.0
Ammonia,p50,2025,Ozone,-0.039,0.001
Ammonia,p50,2025,Strat H2O,-0.039,0.0
Ammonia,p50,2025,ARI,-0.039,-0.039
Ammonia,p50,2025,ACI,-0.039,0.0
Ammonia,p50,2025,LAPSI,-0.039,0.0
Ammonia,p50,2025,Land use,-0.039,0.0
Ammonia,p95,2025,CO2,-0.034,-0.001
Ammonia,p95,2025,CH4,-0.034,0.0
Ammonia,p95,2025,N2O,-0.034,0.0
Ammonia,p95,2025,CFC+HCFC+other,-0.034,0.0
Ammonia,p95,2025,HFC,-0.034,0.0
Ammonia,p95,2025,Ozone,-0.034,0.001
Ammonia,p95,2025,Strat H2O,-0.034,0.0
Ammonia,p95,2025,ARI,-0.034,-0.039
Ammonia,p95,2025,ACI,-0.034,0.0
Ammonia,p95,2025,LAPSI,-0.034,0.0
Ammonia,p95,2025,Land use,-0.034,0.0
