parameters,dT_targets,likelihood,remaining_carbon_budget,future_warming
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.1,-369.4522133462436,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.17,-384.85752793518685,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.33,-415.2438288429466,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.5,-450.5047620920391,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.67,-500.04807541078753,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.83,-591.1308275800803,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.2000000000000002,0.9,-684.8084749433885,-0.0599999999999998
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.1,-249.31481490511075,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.17,-253.13028245045555,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.33,-260.3743649109284,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.5,-268.54169541713514,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.67,-279.85358229932166,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.83,-300.4937637258986,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.3000000000000005,0.9,-321.70958734775974,0.0400000000000002
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.1,43.0844594109352,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.17,-7.815224818211503,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.33,-57.442191839099024,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.5,-84.84535162325753,0.1400000000000003
magicc_hdt_basis1.26_zecsd0.0,1.4000000000000004,0.67,-105.03137243167188,0.1400000000000003
