component,time,percentile,definition,GSAT,GMST
other_human_forcing,2021,p95,AR6,-0.053232739,-0.052505646
other_human_forcing,2021,p95,Annual,,
other_human_forcing,2021,p95,SR1.5,,
other_human_forcing,2025,p05,AR6,,
other_human_forcing,2025,p05,Annual,,-0.377392924
other_human_forcing,2025,p05,SR1.5,-0.386446394,-0.380141519
other_human_forcing,2025,p17,AR6,,
other_human_forcing,2025,p17,Annual,,-0.299379676
other_human_forcing,2025,p17,SR1.5,,
other_human_forcing,2025,p50,AR6,,
other_human_forcing,2025,p50,Annual,,-0.191647096
other_human_forcing,2025,p50,SR1.5,-0.212266063,-0.209003167
other_human_forcing,2025,p83,AR6,,
other_human_forcing,2025,p83,Annual,,-0.084943706
other_human_forcing,2025,p83,SR1.5,,
other_human_forcing,2025,p95,AR6,,
other_human_forcing,2025,p95,Annual,,-0.007675734
other_human_forcing,2025,p95,SR1.5,-0.040430533,-0.040167614
