time,timebound_lower,timebound_upper,central_estimate,structural_uncertainty,internal_uncertainty,total_uncertainty
1954.5,1954,1955,-81.04049795,12.25215299,18.2,21.93980977
1955.5,1955,1956,-79.65047996,11.59627233,18.3,21.66479937
1956.5,1956,1957,-85.29954675,12.66824136,18.3,22.25700652
1957.5,1957,1958,-74.56160416,8.994290579,17.1,19.32116102
1958.5,1958,1959,-74.74817426,8.532899088,16.45,18.53140218
1959.5,1959,1960,-73.52433454,8.850941832,16.28,18.53044984
1960.5,1960,1961,-70.36446457,8.64859808,16.12,18.29351384
1961.5,1961,1962,-68.64660258,6.307668813,15.96,17.16124372
1962.5,1962,1963,-70.96787235,7.836829125,15.8,17.63677665
1963.5,1963,1964,-71.20824852,8.919164383,17.4,19.55278735
1964.5,1964,1965,-75.33125205,10.74161829,17.2,20.27861838
1965.5,1965,1966,-68.38794381,7.708937598,17.7,19.30589855
1966.5,1966,1967,-72.16109252,8.923882779,15.13,17.56566491
1967.5,1967,1968,-72.36956153,8.590470194,14.95,17.24235129
1968.5,1968,1969,-72.09580698,8.006297638,14.78,16.80919992
1969.5,1969,1970,-68.83779024,6.714775063,14.61,16.07918854
1970.5,1970,1971,-69.98759226,6.244131115,14.8,16.06328651
1971.5,1971,1972,-64.07604468,6.576116596,14.5,15.92153603
1972.5,1972,1973,-62.29880612,3.411593935,14.4,14.79861389
1973.5,1973,1974,-65.82347949,4.113428106,14.4,14.97599048
1974.5,1974,1975,-59.59021396,4.527055407,14.5,15.19026763
1975.5,1975,1976,-56.94029378,4.436070686,14.1,14.78136405
1976.5,1976,1977,-59.78196653,3.073197472,14.2,14.52874883
1977.5,1977,1978,-58.26482911,6.090644697,14,15.26748024
1978.5,1978,1979,-57.09850281,2.339054713,14.1,14.29269663
1979.5,1979,1980,-55.02642611,4.481019949,14.2,14.89024982
1980.5,1980,1981,-52.85473551,2.574221483,14,14.23469762
1981.5,1981,1982,-43.13334762,5.376022976,14.3,15.27716018
1982.5,1982,1983,-46.95307903,4.297607428,14.1,14.74040127
1983.5,1983,1984,-43.11057184,3.384019035,13.9,14.30599821
1984.5,1984,1985,-42.29237492,3.762929938,13.9,14.40033478
1985.5,1985,1986,-47.14249459,4.02272824,13.9,14.47039538
1986.5,1986,1987,-44.01989092,5.924471562,14.1,15.2940957
1987.5,1987,1988,-44.11191601,6.414698258,17.2,18.35724254
1988.5,1988,1989,-43.76951105,3.934419627,14.8,15.31403467
1989.5,1989,1990,-39.77698512,2.697620438,14.3,14.55222169
1990.5,1990,1991,-36.24227251,3.038989731,14.3,14.61935219
1991.5,1991,1992,-36.59121568,4.770290726,14.2,14.97984224
1992.5,1992,1993,-36.15227266,4.58284246,14.1,14.82607315
1993.5,1993,1994,-35.62011548,6.481860163,13.2,14.70559455
1994.5,1994,1995,-32.66300407,4.783037941,13.1,13.9458758
1995.5,1995,1996,-27.25947488,2.900225137,13.1,13.41720186
1996.5,1996,1997,-27.27115247,3.237008922,13.1,13.49400707
1997.5,1997,1998,-18.99624627,1.452257448,13.1,13.18025234
1998.5,1998,1999,-21.93911054,4.754993257,13.1,13.93628218
1999.5,1999,2000,-17.52036003,3.641546858,13.3,13.78952006
2000.5,2000,2001,-15.26400568,5.802804552,13.8,14.97038879
2001.5,2001,2002,-11.51336793,1.486757867,13.3,13.38284159
2002.5,2002,2003,-6.218300527,5.940807506,13.4,14.65787139
2003.5,2003,2004,-1.058279381,4.382834306,13.2,13.90860297
2004.5,2004,2005,-4.976914764,3.3157475,13.1,13.51311147
2005.5,2005,2006,-1.798679588,2.394484199,13.1,13.31704001
2006.5,2006,2007,3.994496288,1.968079008,13.6,13.7416642
2007.5,2007,2008,3.426433319,3.21107692,13.1,13.48780987
2008.5,2008,2009,10.00401185,1.444102303,13.1,13.17935626
2009.5,2009,2010,14.09451066,3.338402597,13.3,13.71258298
2010.5,2010,2011,18.67515584,6.158749793,13.3,14.65674585
