time,timebound_lower,timebound_upper,CO2,CH4,N2O,aerosol-radiation_interactions,aerosol-cloud_interactions,O3,contrails,land_use,BC_on_snow,H2O_stratospheric,solar,volcanic,aerosol,nonco2wmghg,halogen,anthro,total,minor,natural,wmghg,anthro_nonwmghg
1782.5,1782,1783,0.050588887,0.01933163,0.002715068,0.002471973,-0.000805337,0.009703353,0,-0.001313031,0.002734872,0.002200032,0.001207169,0.306210849,0.0002257,0.021718752,3.90E-08,0.071878445,0.357897483,0.001439584,0.298888063,0.069980354,0.006158122
1783.5,1783,1784,0.052163619,0.019929858,0.002799758,0.002371037,-0.00073716,0.009741385,0,-0.001399946,0.002426098,0.002268783,-0.009655485,-1.562878839,0.000406614,0.02239138,4.02E-08,0.07426264,-1.526601502,0.001194921,-1.586961685,0.072155742,0.006347462
1784.5,1784,1785,0.053737979,0.020527737,0.00288444,0.003700857,0.012299597,0.009984004,0,-0.00148711,0.00210908,0.002337534,-0.021447693,-2.290860127,0.014401147,0.023063645,4.14E-08,0.087388064,-2.264827502,0.00094768,-2.33603312,0.074330358,0.018433999
1785.5,1785,1786,0.055311967,0.021125265,0.002969112,0.002732221,-0.000901661,0.010938555,0,-0.001578824,0.003004235,0.002406285,-0.016623256,-0.233435645,0.000246423,0.023735549,4.26E-08,0.078683527,-0.203658747,0.001442777,-0.267827129,0.076504621,0.006847675
1786.5,1786,1787,0.056885584,0.021722444,0.003053774,0.00338781,-0.000695979,0.010953025,0,-0.001667035,0.00278014,0.002475036,0.025877644,0.03759889,0.001499786,0.024407104,4.38E-08,0.082795877,0.133671601,0.001242794,0.058206333,0.078677813,0.008557283
1787.5,1787,1788,0.058458829,0.022319275,0.003138428,0.003766363,-0.001097483,0.012345794,0,-0.001758189,0.003720694,0.002543787,0.077751721,0.085528814,0.000807692,0.025078346,4.50E-08,0.084335161,0.223444768,0.00178023,0.151155912,0.080850306,0.008509125
1788.5,1788,1789,0.060031704,0.022915757,0.003223072,0.005042237,-0.001918235,0.015574561,0,-0.001851167,0.006160312,0.002612538,0.089269612,0.192376862,-0.000418379,0.025749231,4.63E-08,0.0873133,0.330183016,0.00343243,0.261862091,0.083022426,0.010030371
1789.5,1789,1790,0.061604208,0.023511892,0.003307706,0.003905094,-0.001459362,0.01376044,0,-0.001944587,0.004556375,0.002681289,0.076347427,0.278856145,-0.000100845,0.026419798,4.75E-08,0.088084298,0.405008173,0.002202712,0.334600579,0.085193842,0.008415912
1790.5,1790,1791,0.063176341,0.02410768,0.003392332,0.004164877,-0.00154462,0.014464479,0,-0.002048022,0.00488452,0.00275004,0.053031173,0.005798403,-0.000105459,0.027089969,4.87E-08,0.090534378,0.137050664,0.002351741,0.057734283,0.08736456,0.008871061
1791.5,1791,1792,0.064748103,0.024703121,0.003476948,0.003602243,-0.001076215,0.012942317,0,-0.002161658,0.003425177,0.002818791,0.02627587,0.19403086,0.000824729,0.027759773,4.99E-08,0.09271898,0.289651095,0.001309039,0.20973229,0.089534156,0.00851239
1792.5,1792,1793,0.066319496,0.025298216,0.003561554,0.003845214,-0.000850004,0.012986675,0,-0.002276599,0.00312483,0.002887542,0.021230868,0.28480438,0.001632339,0.02842925,5.11E-08,0.096213109,0.378894408,0.001037323,0.295439981,0.091703338,0.009670172
1793.5,1793,1794,0.067890518,0.025892965,0.003646152,0.003352593,-0.000867003,0.012704509,0,-0.002390147,0.002885908,0.002956293,0.010425982,0.2809241,0.001154674,0.029098393,5.23E-08,0.097206296,0.365665281,0.000802359,0.281232885,0.093871617,0.008610042
1794.5,1794,1795,0.06946117,0.02648737,0.00373074,0.003906479,-0.001834185,0.015489532,0,-0.002509108,0.005033052,0.003025044,0.002005778,0.286123051,-0.00091866,0.029767198,5.36E-08,0.097799014,0.355395024,0.002066476,0.2769687,0.096038949,0.008022821
1795.5,1795,1796,0.071031453,0.02708143,0.003815319,0.004406898,-0.001526359,0.015498863,0,-0.002631289,0.004705158,0.003093795,-0.014923711,-0.111924459,0.000375125,0.030435653,5.48E-08,0.101303091,-0.057315373,0.001747375,-0.142661135,0.098206459,0.009347653
1796.5,1796,1797,0.072601366,0.027675146,0.003899888,0.002964057,-0.00111055,0.013340003,0,-0.002745593,0.003069651,0.003162546,-0.018685791,0.019413562,0.000246177,0.031103799,5.60E-08,0.101763345,0.087617227,0.000632807,-0.002815971,0.100372908,0.007290774
1797.5,1797,1798,0.07417091,0.028268519,0.003984449,0.0048514,-0.001751624,0.016474744,0,-0.002871821,0.005197029,0.003231297,-0.024746397,0.185932214,0.000308467,0.031771696,5.72E-08,0.105693205,0.230118983,0.001884653,0.141521251,0.102538376,0.009760474
1798.5,1798,1799,0.075740085,0.028861548,0.004069,0.005220651,-0.002114792,0.017951203,0,-0.002997599,0.005956524,0.003300048,-0.026959953,0.288115609,-0.000253665,0.032439249,5.84E-08,0.108029597,0.324168356,0.002296085,0.237125321,0.104703142,0.010258591
1799.5,1799,1800,0.07730889,0.029454236,0.004153541,0.004304429,-0.001906959,0.016556152,0,-0.003122068,0.005079902,0.003368799,-0.025780195,0.30411801,-0.000523879,0.033106459,5.97E-08,0.108431014,0.342584285,0.001617938,0.254261229,0.10686715,0.008455751
1800.5,1800,1801,0.078877328,0.030046582,0.004238074,0.004082776,-0.002213963,0.017021214,0,-0.003257737,0.005429541,0.00343755,-0.019138912,-0.066521767,-0.001479961,0.033773326,6.09E-08,0.109420655,-0.006779092,0.001731537,-0.099814438,0.109030487,0.007518191
1801.5,1801,1802,0.080445396,0.030638586,0.004322597,0.004903273,-0.002109944,0.017674004,0,-0.003407541,0.005624784,0.003506301,0.003777914,0.198079355,-0.000399644,0.034439852,6.21E-08,0.11307469,0.285506596,0.001733696,0.19012882,0.111193617,0.009133563
1802.5,1802,1803,0.082013096,0.03123025,0.004407111,0.004088786,-0.002239742,0.016749439,0,-0.003558961,0.00514603,0.003575052,0.004858252,0.277778797,-0.001248728,0.035106032,6.33E-08,0.113120038,0.363529025,0.001278943,0.270174008,0.11335628,0.007087606
1803.5,1803,1804,0.083580428,0.031821573,0.004491616,0.003899307,-0.001904386,0.016135342,0,-0.003708838,0.004437279,0.003643803,-0.000873329,0.297919689,-0.000535325,0.035771863,6.45E-08,0.115517427,0.379936411,0.000696745,0.28301127,0.1155175,0.007205117
1804.5,1804,1805,0.085147392,0.032412557,0.004576111,0.005421551,-0.001869457,0.017384857,0,-0.003863484,0.005122427,0.003712554,0.002337027,0.300662254,0.000928384,0.036437354,6.57E-08,0.120278046,0.391469198,0.000992264,0.28950765,0.117678524,0.00985343
1805.5,1805,1806,0.086713988,0.033003201,0.004660597,0.004860742,-0.002397136,0.018015215,0,-0.004012883,0.005807769,0.003781305,-0.001039615,0.18981348,-0.000932906,0.037102504,6.70E-08,0.119891168,0.277119637,0.001303363,0.175452558,0.119839788,0.007818475
1806.5,1806,1807,0.088280217,0.033593507,0.004745074,0.005782223,-0.00239134,0.018606641,0,-0.004170169,0.006154231,0.003850056,-0.007650493,0.282873291,2.75E-05,0.037767315,6.82E-08,0.123394092,0.361304877,0.001397698,0.258595593,0.121998238,0.00929381
1807.5,1807,1808,0.089846078,0.034183474,0.004829542,0.006088238,-0.002687254,0.01949847,0,-0.004323073,0.006816228,0.003918807,-0.020490951,0.303292944,-0.000428335,0.03843159,6.94E-08,0.125254315,0.362500579,0.001700972,0.260426795,0.124157277,0.009275221
1808.5,1808,1809,0.091411572,0.034773104,0.004914001,0.007642297,-0.003463202,0.02285049,0,-0.004477991,0.009379717,0.003987558,-0.023498396,0.306356821,-0.001363397,0.039095481,7.06E-08,0.128641276,0.360290216,0.003354671,0.25891705,0.126315457,0.011172537
1809.5,1809,1810,0.092976699,0.035362397,0.00499845,0.006542102,-0.003051761,0.021087402,0,-0.004635975,0.007927522,0.004056309,-0.026624191,-2.55765324,-0.001152395,0.039759025,7.18E-08,0.12915481,-2.528398627,0.002177443,-2.616592612,0.128473274,0.009371054
1810.5,1810,1811,0.094541459,0.035951353,0.00508289,0.006946474,-0.003197687,0.021783236,0,-0.004801155,0.008436495,0.00412506,-0.029720308,-2.982767031,-0.001203784,0.040422224,7.30E-08,0.131452154,-2.959632097,0.002388263,-3.047441035,0.130629076,0.00972501
1811.5,1811,1812,0.096105853,0.036539972,0.005167321,0.006833786,-0.00292827,0.021006088,0,-0.004963328,0.007610393,0.004193811,-0.029111137,-1.227618497,-0.000355635,0.041085069,7.43E-08,0.133608923,-1.193008912,0.001652334,-1.290881466,0.132784843,0.00965943
1812.5,1812,1813,0.09766988,0.037128256,0.005251742,0.006659882,-0.002671595,0.020330589,0,-0.005134112,0.006882181,0.004262562,-0.025538823,-0.584038324,0.00028626,0.041747565,7.55E-08,0.135756928,-0.533819302,0.001014007,-0.639392146,0.134940927,0.009542876
1813.5,1813,1814,0.09923354,0.037716205,0.005336155,0.006507115,-0.002823301,0.020508756,0,-0.005313101,0.007128544,0.004331313,-0.019803008,-0.553975502,-0.000276736,0.042409717,7.67E-08,0.136821601,-0.49501404,0.001015183,-0.60020511,0.137096356,0.008750523
1814.5,1814,1815,0.100796835,0.03830382,0.005420558,0.007273266,-0.003738672,0.023232306,0,-0.005489258,0.009290826,0.004400064,-0.017602371,-0.622046615,-0.002083204,0.043071524,7.79E-08,0.138472797,-0.566990566,0.002319485,-0.665650932,0.139251131,0.008886896
1815.5,1815,1816,0.102359764,0.0388911,0.005504952,0.007951531,-0.0035803,0.023487904,0,-0.00566059,0.009249612,0.004468815,-0.006984488,-2.312318799,-0.000951138,0.043732988,7.91E-08,0.141831968,-2.24535413,0.002125547,-2.340991346,0.141405251,0.010073582
1816.5,1816,1817,0.103922327,0.039478047,0.005589337,0.007052329,-0.003576044,0.02227482,0,-0.005837368,0.008459545,0.004537566,0.006282345,-4.307500196,-0.001511321,0.044394109,8.03E-08,0.141916356,-4.221226208,0.001427274,-4.318411521,0.143558718,0.008041191
1817.5,1817,1818,0.105484524,0.04006466,0.005673713,0.00844129,-0.003913595,0.024181893,0,-0.00601035,0.009770605,0.004606317,0.004225285,-3.139352414,-0.001112747,0.045054887,8.16E-08,0.145651462,-3.056527903,0.002141132,-3.153380495,0.145710494,0.009961667
1818.5,1818,1819,0.107046356,0.040650941,0.00575808,0.009309379,-0.004475491,0.026541507,0,-0.006176765,0.011233357,0.004675068,-0.001138643,-1.714844344,-0.001786696,0.045715323,8.28E-08,0.148504164,-1.640088416,0.002993621,-1.736289057,0.147862347,0.011124002
1819.5,1819,1820,0.108607823,0.041236889,0.005842437,0.008598755,-0.00408832,0.024843789,0,-0.006352701,0.010261985,0.004743819,-0.006057113,-0.563690321,-0.001510279,0.046375483,8.40E-08,0.149158261,-0.482729364,0.002152171,-0.591094279,0.150013019,0.009531325
1820.5,1820,1821,0.110168925,0.041822507,0.005926785,0.008554995,-0.004452519,0.025604915,0,-0.006542817,0.010951619,0.00481257,-0.015229186,-0.008213184,-0.002569694,0.047035412,8.52E-08,0.150240599,0.105193386,0.002440015,-0.026153631,0.152162586,0.008793007
1821.5,1821,1822,0.111729662,0.042407792,0.006011124,0.009588751,-0.004512699,0.026571706,0,-0.006740673,0.011497246,0.004881321,-0.021832432,0.059378999,-0.001671288,0.047695005,8.64E-08,0.153743937,0.16003917,0.002617051,0.027696173,0.154311428,0.010350208
1822.5,1822,1823,0.113290035,0.042992748,0.006095454,0.008457295,-0.004386145,0.024906549,0,-0.006942328,0.010573193,0.004950072,-0.023260681,0.045051213,-0.00228616,0.048354263,8.77E-08,0.153266909,0.145864127,0.00178675,0.013992288,0.156459378,0.007737439
1823.5,1823,1824,0.114850043,0.043577373,0.006179775,0.008441598,-0.004264456,0.024413414,0,-0.007144472,0.010017889,0.005018823,-0.026340201,-0.324538903,-0.001719824,0.049013186,8.89E-08,0.155260732,-0.261518921,0.001228753,-0.381179257,0.158606638,0.007546965
1824.5,1824,1825,0.116409687,0.044161668,0.006264087,0.010162657,-0.004451941,0.026003711,0,-0.007334815,0.011145384,0.005087574,-0.022357512,-0.040858118,-0.000540742,0.049671774,9.01E-08,0.159626404,0.063603532,0.001781495,-0.074550348,0.160753209,0.010028473
1825.5,1825,1826,0.117968967,0.044745634,0.006348389,0.009708806,-0.004900115,0.026337103,0,-0.007538773,0.011666204,0.005156325,-0.013150002,0.095137033,-0.002099804,0.050330029,9.13E-08,0.159682136,0.207004104,0.001930544,0.068715304,0.162899584,0.008271179
1826.5,1826,1827,0.119527883,0.045329272,0.006432682,0.010391424,-0.004749747,0.026369316,0,-0.007742924,0.011744442,0.005225076,0.002495696,0.256890971,-0.001069673,0.050987951,9.25E-08,0.162654961,0.376534065,0.001786422,0.241902826,0.165045762,0.009122835
1827.5,1827,1828,0.121086436,0.045912581,0.006516967,0.0110723,-0.005251767,0.02753955,0,-0.00795595,0.012734239,0.005293827,0.018290394,0.278327759,-0.001570228,0.051645539,9.37E-08,0.164640043,0.414810951,0.002252854,0.280159261,0.167191113,0.009360339
1828.5,1828,1829,0.122644625,0.046495563,0.006601242,0.012546934,-0.006224361,0.030865519,0,-0.008163566,0.015436661,0.005362578,0.030496076,0.207318498,-0.002916631,0.052302796,9.50E-08,0.167688443,0.361692869,0.003915428,0.221784607,0.169334719,0.010744453
1829.5,1829,1830,0.12420245,0.047078217,0.006685508,0.011623098,-0.005869007,0.029276409,0,-0.008369691,0.014141061,0.005431329,0.042366137,0.228780841,-0.002674739,0.05295972,9.62E-08,0.168142905,0.393026339,0.002788492,0.25373728,0.171479068,0.009030277
1830.5,1830,1831,0.125759913,0.047660545,0.006769764,0.011985123,-0.00716975,0.030180007,0,-0.008609506,0.015060672,0.00550008,0.047012331,0.287088626,-0.004423683,0.053616197,9.74E-08,0.16853708,0.450608679,0.003172774,0.314986781,0.173622235,0.007623554
1831.5,1831,1832,0.127317013,0.048242547,0.006854012,0.011711672,-0.006431747,0.028670877,0,-0.00889072,0.01378974,0.005568831,0.022269035,-0.403664206,-0.002921,0.054272302,9.86E-08,0.170432045,-0.274261729,0.002034225,-0.400798631,0.175764146,0.007291136
1832.5,1832,1833,0.12887375,0.048824222,0.006938251,0.012029759,-0.006383188,0.028715823,0,-0.009167006,0.013726707,0.005637582,0.001368671,-2.129347798,-0.002387078,0.054928073,9.98E-08,0.172597907,-2.04011425,0.001711989,-2.151911179,0.177905937,0.007443131
1833.5,1833,1834,0.130430124,0.049405573,0.00702248,0.011951467,-0.006603891,0.028761198,0,-0.009449799,0.014028092,0.005706333,-0.016321023,-0.972289217,-0.002984054,0.05558357,1.01E-07,0.173404651,-0.901812473,0.001623742,-1.018899405,0.180048229,0.006359217
1834.5,1834,1835,0.131986136,0.049986598,0.007106701,0.012835364,-0.007478213,0.031118505,0,-0.009728061,0.016109621,0.005775084,-0.015468049,-0.125096977,-0.004524526,0.05623882,1.02E-07,0.175228939,-0.017453894,0.002718142,-0.162090932,0.182189833,0.006394214
1835.5,1835,1836,0.133541786,0.050567299,0.007190912,0.013602071,-0.007316682,0.031017259,0,-0.010000467,0.016029685,0.005843835,0.014343437,-1.481266014,-0.003243688,0.056893731,1.03E-07,0.178101102,-1.376772813,0.002393964,-1.488855325,0.184330713,0.00726747
1836.5,1836,1837,0.135097074,0.051147677,0.007275114,0.013203546,-0.008089359,0.030462348,0,-0.010276558,0.016148425,0.005912586,0.077992296,-1.452199782,-0.004766329,0.057548312,1.05E-07,0.177411609,-1.294438539,0.00218157,-1.405883531,0.186470329,0.004653052
1837.5,1837,1838,0.136652,0.051727731,0.007359308,0.014768169,-0.00837325,0.032424184,0,-0.010551897,0.017560923,0.005981337,0.112793146,-0.378956945,-0.004162646,0.058202564,1.06E-07,0.181334323,-0.170060037,0.002837219,-0.301514767,0.188608649,0.006688113
1838.5,1838,1839,0.138206565,0.052307462,0.007443492,0.015700064,-0.009053946,0.034413304,0,-0.010831201,0.019021052,0.006050088,0.076999557,-0.357291007,-0.004874513,0.058856419,1.07E-07,0.183814254,-0.174849464,0.003551039,-0.30822622,0.190746782,0.007334566
1839.5,1839,1840,0.139760768,0.052886871,0.007527667,0.015106981,-0.009008808,0.033008004,0,-0.011107855,0.018339125,0.006118839,0.062818792,0.020055918,-0.005088821,0.059509842,1.08E-07,0.183787616,0.241397965,0.002791935,0.079147047,0.192884537,0.005293558
1840.5,1840,1841,0.14131461,0.053465957,0.007611833,0.014495074,-0.009348102,0.032321416,0,-0.011382028,0.018191566,0.00618759,0.037532476,0.251842473,-0.006094026,0.060162935,1.10E-07,0.183590087,0.420411342,0.002410836,0.270446748,0.195020293,0.003081242
1841.5,1841,1842,0.14286809,0.054044723,0.007695989,0.016385631,-0.009956691,0.034864669,0,-0.011646126,0.020033158,0.006256341,0.012337966,0.297597661,-0.005832314,0.060815697,1.11E-07,0.187725606,0.440888455,0.00338499,0.290350148,0.197156723,0.005408846
1842.5,1842,1843,0.14442121,0.054623167,0.007780137,0.014976901,-0.009981168,0.033081709,0,-0.011911529,0.018812076,0.006325092,0.000104733,0.305421881,-0.006685742,0.061468129,1.12E-07,0.186594242,0.433041301,0.00230054,0.283841862,0.199290767,0.00222514
1843.5,1843,1844,0.14597397,0.055201291,0.007864276,0.014544917,-0.009751393,0.031645626,0,-0.012177024,0.017715001,0.006393843,-0.012015951,-0.110433186,-0.006160398,0.062120231,1.13E-07,0.187482147,0.013658595,0.001337995,-0.142993768,0.201426113,0.000999901
1844.5,1844,1845,0.147526368,0.055779094,0.007948406,0.016298965,-0.010337332,0.033327088,0,-0.012433988,0.019046136,0.006462594,-0.011675562,0.093079872,-0.005632838,0.062772005,1.14E-07,0.191118868,0.232493309,0.001953659,0.067667455,0.203560769,0.002773208
1845.5,1845,1846,0.149078407,0.056356578,0.008032526,0.016134376,-0.011583987,0.034123046,0,-0.012693488,0.020193628,0.006531345,0.005529434,0.165794898,-0.008173266,0.063423447,1.16E-07,0.190473225,0.315165915,0.002431393,0.153945017,0.205694767,0.000374457
1846.5,1846,1847,0.150630085,0.056933743,0.008116638,0.0171078,-0.011394949,0.034106696,0,-0.012959183,0.020401248,0.006600096,0.027001508,-0.302749159,-0.00687697,0.064074556,1.17E-07,0.193571762,-0.15255227,0.002316218,-0.297792536,0.207827237,0.001432331
1847.5,1847,1848,0.152181403,0.057510589,0.008200741,0.01824394,-0.012737588,0.036044985,0,-0.01322141,0.022360868,0.006668847,0.056208903,0.032647657,-0.008503464,0.064725338,1.18E-07,0.195095545,0.255165651,0.003364617,0.083004585,0.209959729,0.00119798
