time,timebound_lower,timebound_upper,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,other_human_forcings_p05,other_human_forcings_p17,other_human_forcings_p50,other_human_forcings_p83,other_human_forcings_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95
1876.5,1876,1877,0.02490093,0.032365299,0.042886188,0.053530566,0.061536703,-0.003505463,-0.00316993,-0.002800599,-0.002475523,-0.002246109,-7.07E-05,0.000897574,0.00185027,0.002809999,0.003574924,-0.002969828,-0.001886773,-0.000954725,-1.78E-06,0.000720218,-0.054622933,-0.027248538,0.006343049,0.044162347,0.069454696,-0.169896933,-0.128388748,-0.080705579,-0.038902832,-0.006428934
1877.5,1877,1878,0.024558041,0.031973718,0.042592688,0.053504612,0.061807882,-0.000702078,-0.000551081,-0.000346001,-0.000145555,-3.04E-06,-0.00166686,0.000191799,0.001105268,0.0018495,0.002401118,-0.00191317,-0.000240623,0.000765597,0.001529531,0.002074802,-0.05293183,-0.025673262,0.007705236,0.045312288,0.070421817,0.143672834,0.183956156,0.239491984,0.279744064,0.307564737
1878.5,1878,1879,0.025104355,0.032718619,0.043702465,0.055110109,0.063880796,0.001748143,0.001899882,0.002146016,0.002454341,0.002758997,-0.00358113,-0.000828973,0.000519698,0.001168149,0.001671946,-0.001022964,0.001220938,0.002652003,0.003325281,0.003848432,-0.049974477,-0.022778981,0.010591161,0.048071172,0.073202174,0.236567709,0.287835086,0.337223426,0.387568682,0.413336281
1879.5,1879,1880,0.025945157,0.033825412,0.04524046,0.057198459,0.06647592,0.003981392,0.004279734,0.004703571,0.005245558,0.00582149,-0.006502576,-0.002588271,-0.000232391,0.000451326,0.001070866,-0.001064999,0.002294121,0.004379217,0.005145328,0.005678756,-0.046854866,-0.01973223,0.013693075,0.051053101,0.076323354,-0.031256691,-0.005484367,0.032858519,0.07930852,0.114932808
1880.5,1880,1881,0.025516282,0.033327158,0.044760559,0.056878163,0.066401991,0.00622471,0.006700357,0.007333294,0.008139863,0.009009628,-0.009390902,-0.00453887,-0.001491814,-0.000328255,0.000365025,-0.00103961,0.003200544,0.005806674,0.006764715,0.007286469,-0.045652251,-0.018687532,0.014526823,0.051616525,0.076710426,-0.050166429,-0.022476662,0.021855486,0.069753882,0.099779341
1881.5,1881,1882,0.024997586,0.032692675,0.044035675,0.0561517,0.065824175,0.008534411,0.009199331,0.010056042,0.011143463,0.012322012,-0.011502595,-0.006301169,-0.0028129,-0.00107148,-0.000283511,-0.000227193,0.004391327,0.007268229,0.008568287,0.009209074,-0.044407553,-0.017611093,0.015318161,0.052113922,0.076917046,0.027784133,0.05106587,0.09704883,0.143812577,0.181452268
1882.5,1882,1883,0.027232231,0.035475533,0.047417488,0.060132204,0.070320085,0.010912907,0.011775397,0.012866803,0.014246536,0.015745037,-0.013168921,-0.007880303,-0.003968871,-0.001744252,-0.000827807,0.001139139,0.005776784,0.008923186,0.010573604,0.011367131,-0.03937937,-0.012607276,0.020492556,0.057188633,0.082177569,-0.02852942,0.002908621,0.04185091,0.082328783,0.113032731
1883.5,1883,1884,0.005537888,0.015630859,0.023993194,0.034668401,0.043150873,0.013315924,0.014378606,0.01570971,0.017387994,0.019211561,-0.013675308,-0.009054559,-0.005053078,-0.002522674,-0.001436259,0.003745675,0.007545614,0.010662555,0.012578901,0.013533439,-0.058082309,-0.032101706,-0.001111006,0.034644306,0.057227553,-0.068206881,-0.04122743,0.001805561,0.04723952,0.07471183
1884.5,1884,1885,-0.156401891,-0.126917919,-0.092473298,-0.064767024,-0.048309829,0.015718026,0.016979728,0.018551758,0.020532113,0.0226826,-0.014834969,-0.010276896,-0.005978681,-0.003157505,-0.00186415,0.005740623,0.009330283,0.01257187,0.014716086,0.01583441,-0.196247429,-0.162726658,-0.11714318,-0.075124413,-0.046541445,-0.095994521,-0.069473442,-0.027698857,0.017545862,0.04986445
1885.5,1885,1886,-0.27195254,-0.233981418,-0.182602391,-0.134592262,-0.102191909,0.018186904,0.019653073,0.02147326,0.023762786,0.026249942,-0.017102687,-0.011870663,-0.006929458,-0.003673045,-0.002175698,0.006769498,0.010837637,0.01453304,0.017000157,0.018294165,-0.305613373,-0.263194571,-0.203903258,-0.147387092,-0.107257379,-0.0019637,0.033546348,0.084153783,0.13752647,0.177005844
